S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME,RAINFALL CUMULATIVE SINCE 0300 UTC (mm),TEMP,TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,0:00:00,0,14.7,,100,79,2,971.5,1004.3,0,12.4,L
2,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,0:10:00,0,15,,100,248,4,972.5,1005.3,0,12.4,L
3,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,0:20:00,0,15.3,,100,180,4,972.6,1005.3,0,12.4,L
4,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,0:30:00,0,15.4,,100,54,4,972.3,1005,0,12.4,L
5,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,0:40:00,0,15.4,,100,215,1,972.6,1005.3,0,12.4,L
6,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,0:50:00,0,15.3,,100,6,2,972.9,1005.6,0,12.4,L
7,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,1:00:00,0,15.2,,100,79,3,972.6,1005.3,0,12.4,L
8,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,1:10:00,0,15.1,,100,247,1,972.9,1005.7,0,12.4,L
9,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,1:20:00,0,15.2,,100,15,2,973.2,1006,0,12.4,L
10,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,1:30:00,0,15,,100,126,3,973.4,1006.2,0,12.4,L
11,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,1:40:00,0,14.9,,100,104,4,972.6,1005.4,0,12.4,L
12,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,1:50:00,0,14.8,,100,105,4,972.2,1005,0,12.4,L
13,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,2:00:00,1,14.7,,100,110,4,972.3,1005.1,0,12.4,L
14,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,2:10:00,1,14.9,,100,91,4,972.5,1005.3,0,12.4,L
15,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,2:20:00,1,14.9,,100,62,2,972.4,1005.2,0,12.4,L
16,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,2:30:00,1,15.1,,100,199,3,973.5,1006.3,0,12.4,L
17,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,2:40:00,4,15.1,,100,80,6,972.9,1005.7,0,12.4,L
18,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,2:50:00,6,14.8,,100,90,4,973.1,1005.9,0,12.4,L
19,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,3:00:00,6,14.9,14.3,100,127,5,973,1005.8,0,12.4,L
20,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,3:10:00,0,14.9,,100,89,5,973.1,1005.9,0,12.4,L
21,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,3:20:00,0,14.9,,100,115,3,973.1,1005.9,0,12.4,L
22,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,3:30:00,0,15.1,,100,123,6,973.5,1006.3,0,12.4,L
23,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,3:40:00,0,15.1,,100,114,7,973.6,1006.4,0,12.4,L
24,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,3:50:00,0,15.2,,100,111,5,973.4,1006.2,0,12.4,L
25,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,4:00:00,0,15.5,,100,88,6,973.6,1006.3,0,12.9,L
26,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,4:10:00,0,15.9,,100,95,8,973.5,1006.2,0,12.9,L
27,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,4:20:00,0,16,,100,105,7,973.4,1006.1,0,12.9,L
28,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,4:30:00,0,16.1,,100,113,4,973.3,1006,0,12.9,L
29,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,4:40:00,0,16.4,,100,115,8,973.5,1006.1,0,12.9,L
30,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,4:50:00,0,16.7,,100,105,7,973.9,1006.5,0,12.9,L
31,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,5:00:00,0,17,,100,106,4,974.1,1006.7,0,13.2,L
32,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,5:10:00,0,17,,97,230,4,974.7,1007.3,0,13.2,L
33,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,5:20:00,0,16.6,,100,228,6,974.9,1007.6,0,13.2,L
34,SOUTH_WEST_DELHI,AYANAGAR,2/14/2019,5:30:00,0,16.5,,100,48,5,974.4,1007.1,0,13.2,L
