S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME,RAINFALL CUMULATIVE SINCE 0300 UTC (mm),TEMP,TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,0:00:00,0,14.7,,100,338,3,950.4,974.2,0,12.1,L
2,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,0:10:00,0,14.5,,100,242,6,949.7,973.5,0,12.1,L
3,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,0:20:00,1,14.4,,100,74,2,990.4,1015.2,0,12.1,U
4,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,0:30:00,1,14.4,,100,124,2,990.4,1015.2,0,12.1,U
5,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,0:40:00,1,14.6,,100,95,1,950.2,974,0,12.1,U
6,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,0:50:00,1,14.6,,100,65,1,950.1,973.9,0,12.1,U
7,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,1:00:00,1,14.8,,100,130,3,991.7,1016.5,0,12,U
8,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,1:10:00,1,14.7,,100,205,1,950.3,974.1,0,12,U
9,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,1:20:00,1,14.7,,100,94,2,950.2,974,0,12,L
10,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,1:30:00,1,14.7,,100,52,2,949.7,973.4,0,12,L
11,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,1:40:00,1,14.7,,100,93,4,990.5,1015.3,0,12,L
12,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,1:50:00,1,14.7,,100,86,2,949.6,973.3,0,12,L
13,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,2:00:00,1,14.7,,100,53,1,990.3,1015.1,0,12,L
14,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,2:10:00,1,14.8,,100,135,3,990.9,1015.7,0,12,L
15,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,2:20:00,1,14.7,,100,167,2,950.7,974.5,0,12,L
16,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,2:30:00,1,14.7,,100,125,3,950.5,974.3,0,12,L
17,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,2:40:00,1,14.7,,100,135,5,992.3,1017.1,0,12,L
18,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,2:50:00,1,14.9,,100,94,3,950.3,974,0,12,L
19,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,3:00:00,1,15,14.2,100,87,3,991.1,1015.9,0,12,L
20,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,3:10:00,0,15,,100,99,4,991,1015.8,0,12,L
21,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,3:20:00,1,15,,100,94,6,991.6,1016.4,0,12,L
22,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,3:30:00,1,15,,100,100,3,950.5,974.2,0,12,L
23,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,3:40:00,1,15.1,,100,106,3,950.3,974,0,12,L
24,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,3:50:00,1,15.5,,100,107,4,950.7,974.4,0,12,L
25,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,4:00:00,1,15.6,,100,87,3,991.8,1016.5,0,12.6,L
26,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,4:10:00,1,15.7,,100,100,1,951.1,974.8,0,12.6,L
27,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,4:20:00,1,15.7,,100,186,3,992.2,1016.9,0,12.6,L
28,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,4:30:00,1,15.6,,100,315,2,992.9,1017.6,0,12.6,L
29,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,4:40:00,1,15.5,,100,102,6,951.8,975.5,0,12.6,L
30,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,4:50:00,1,15.4,,100,77,4,992.9,1017.7,0,12.6,L
31,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,5:00:00,1,15.6,,100,103,6,992.2,1016.9,0,12.1,L
32,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,5:10:00,1,16.4,,100,118,4,991.9,1016.6,0,12.1,L
33,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,5:20:00,1,16.7,,96,118,7,991.8,1016.4,0,12.1,L
34,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,5:30:00,1,17,,94,113,3,992,1016.6,0,12.1,L
35,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,5:40:00,1,17,,96,80,4,950.7,974.3,0,12.1,L
36,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,5:50:00,1,17.1,,97,140,3,991.8,1016.4,0,12.1,L
37,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,6:00:00,1,17.2,,98,141,4,950.7,974.3,0,12.5,L
38,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,6:10:00,1,17.3,,97,132,5,991.5,1016.1,0,12.5,L
39,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,6:20:00,1,17.6,,96,128,3,991.7,1016.2,0,12.5,L
40,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,6:30:00,1,17.6,,93,102,5,950.3,973.8,0,12.5,L
41,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,6:40:00,1,17.8,,91,121,5,991.1,1015.6,0,12.5,L
42,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,6:50:00,1,17.7,,92,135,6,991.2,1015.7,0,12.5,L
43,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,7:00:00,1,17.2,,100,125,5,950,973.5,0,12.6,L
44,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,7:10:00,1,17.6,,99,120,5,990.8,1015.3,0,12.6,L
45,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,7:20:00,1,17.7,,96,120,5,949.6,973.1,0,12.6,L
46,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,7:30:00,1,18.1,,94,100,4,990.3,1014.8,0,12.6,L
47,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,7:40:00,1,18.9,,90,115,5,990,1014.4,0,12.6,L
48,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,7:50:00,1,19.4,,84,125,5,989.9,1014.2,0,12.6,L
49,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,8:00:00,1,19.4,,85,91,5,989.8,1014.1,0,13,L
50,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,8:10:00,1,19.3,,86,126,8,989.6,1013.9,0,13,L
51,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,8:20:00,1,19.4,,83,114,5,1016.9,1041.9,0,13,L
52,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,8:30:00,1,19.9,,83,89,4,929.4,952.2,0,13,L
53,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,8:40:00,1,20.3,,78,127,3,948.5,971.8,0,13,L
54,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,8:50:00,1,20.6,,74,120,4,948.5,971.7,0,13,L
55,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,9:00:00,1,21,,72,119,5,989,1013.2,0,13.9,L
56,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,9:10:00,1,21,,74,123,8,948.4,971.6,0,13.9,L
57,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,9:20:00,1,21.2,,71,112,8,948.3,971.5,0,13.9,L
58,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,9:30:00,1,21.1,,70,111,7,988.8,1013,0,13.9,L
59,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,9:40:00,1,21.4,,65,104,5,948.1,971.3,0,13.9,L
60,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,9:50:00,1,21,,66,118,6,988.6,1012.8,0,13.9,L
61,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,10:00:00,1,21.2,,67,111,4,988.6,1012.8,0,14.1,L
62,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,10:10:00,1,21.8,,67,119,5,948,971.1,0,14.1,L
63,SOUTH_WEST_DELHI,JAFARPUR,2/14/2019,10:20:00,1,21.6,,68,102,6,1003.1,1027.6,0,14.1,L
