S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME,RAINFALL CUMULATIVE SINCE 0300 UTC (mm),TEMP,TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,0:00:00,0,15.4,,,208,1,991.3,1015.7,0,12.4,L
2,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,0:30:00,0,15,,,61,3,989.6,1014,0,12.4,L
3,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,1:00:00,0,15,,,192,1,990.6,1015,0,12.4,L
4,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,1:30:00,0,15.4,,,63,1,990.6,1015,0,12.4,L
5,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,2:00:00,0,15.3,,,130,2,989.6,1014,0,12.4,L
6,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,2:30:00,0,16,,,23,1,990.9,1015.2,0,12.4,L
7,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,3:00:00,0,16.1,,,103,2,990.1,1014.4,0,12.3,L
8,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,3:30:00,0,16.6,,,37,2,991.2,1015.5,0,12.3,L
9,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,4:00:00,0,17.1,,,37,1,991.1,1015.3,0,13,L
10,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,4:30:00,0,16.8,,,131,2,991.4,1015.7,0,13,L
11,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,5:00:00,0,16.7,,,34,2,992.4,1016.7,0,12.6,L
12,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,5:30:00,0,17.1,,,119,2,991.3,1015.5,0,12.6,L
13,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,6:00:00,0,17.4,,,71,2,991,1015.2,0,13.3,L
14,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,6:30:00,0,18.1,,,74,3,990.6,1014.7,0,13.3,L
15,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,7:00:00,0,18.3,,,41,1,990,1014.1,0,13.3,L
16,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,7:30:00,0,18.5,,,68,1,989.4,1013.5,0,13.3,L
17,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,8:00:00,0,19.1,,,105,1,989,1013,0,13.9,L
18,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,8:30:00,0,19.3,,,54,3,988.5,1012.5,0,13.9,L
19,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,9:00:00,0,19.9,,,136,1,988.2,1012.1,0,14.1,L
20,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,9:30:00,0,20.7,,,43,1,988,1011.9,0,14.1,L
21,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,10:00:00,0,21.1,,,147,2,988,1011.8,0,14.1,L
22,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,10:30:00,0,21,,,43,1,987.7,1011.5,0,14.1,L
23,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,11:00:00,0,20.9,,,107,1,987.7,1011.5,0,14.1,L
24,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,11:30:00,0,20.2,,,94,2,987.7,1011.6,0,14.1,L
25,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,12:00:00,0,20.3,21.1,,359,0,988,1011.9,0,13.7,L
26,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,12:30:00,0,19.7,,,101,1,988.3,1012.2,0,13.7,L
27,SOUTH_WEST_DELHI,NAJAFGARH,2/14/2019,13:00:00,0,19.3,,,110,1,988.5,1012.5,0,13,L
